Легенда,,,,,,,,,
,,Java Core,,n/a (not applicable at this level),n/a (not applicable at this level),"ООП:
- принципы и применение
- модификаторы доступа
private, default, protected, public
- модификаторы класса (метода, поля) static, final
Исключения
- иерархия исключений 
- обработка исключений
Структуры данных
- иерархия классов
- представители в каждом типе
- Collection и Map
- String и основные методы
Типы данных
Object и основные методы","Коллекции:
- иерархия классов
- представители в каждом типе
- сортиовка и интерфейсы Comparable
Другое:
- типы исключений (иерархия)
- throw, throws, finally
- модификатор final (наследование клссов, методов, final перед перемеными, в параметрах методов)","Функциональное программирование
- Stream Api
- Atomic types 
- optional
- лямда выражения
Интерфейсы и абстрактные классы
- Абстрактные методы
- Наследование и имплементация
Иерархия наследования и преобразование типов
StringBuffer\StringBuilder","Многопоточность
- потокобезопасные коллекции
- immutable объекты
Паттерны проектирования"
,,Cucumber framework,,"Создавать файлы features
Проставлять тэги",E1.1,"Класс Runner как запускается
CucumberOptions:
- tags
- features
- glue
- plugin
- name 
- strict ","Уметь делать запуски по тэгам
Уметь писать аннатации к стэпам
Применять регулярные выражения:
- .*
- .{1,3}
- ""[^\""]*""
Уметь применять таблицы значений","Умение применять многострочные аргументы
Оптимизировать тесты в Структуры сценариев
Использование hooks
Пользоваться Тэгами порядка выполнения Before After
",E1.1 - E3.1
,,Spring boot framework,,n/a (not applicable at this level),n/a (not applicable at this level),n/a (not applicable at this level),"- Что такое Inversion of Control
- Типы связывания бинов их приоритет (по типу, по id, по имени)
- Аннотация @Qualifier и @Autowired
- Способы внедрения зависимостей (через поле, конструктор, метод), предпотительный способ
- Области действия бинов, scope (singleton, prototype, session, request
- Аннотация @Value и значения по умолчанию
- Объявление DataSource и JdbcTemplate
","Аннотация @Transactional - устройство
Виды прокси в Spring (по интерфейсу, по наследованию класса) - плюсы/минусы
Объявление бинов через аннотации:
- @Component
- @Service
- @Repository - что особенного в ней
Конфигурация бинов в Java:
- @Configuration и @Bean
- xml vs Java
Работа с профилями

","Работа с профилями
"
,,Selenium + Selenide,,Умение пользоваться WEB шагами,E1.1,"1. Различия между браузерам
2. iframe и как с ним работать","1. Настройка параметров Драйвера
- Имплисит и эксплисит wait в вебдрайвере.
2. Как обрабатывать alerts браузера
3. Взаимодействие с cookies, LocalStorage и SessionStorage","Выполнение JS методов
Использование нескольких Локаторов
Оси Xpath
Явные Неявные ожидания
Работа с вкладками","Работа с localstorage
Работа с sessionstorage
Преобразование Драйверов"
,Качество и тестирование,Debugging,,"Уметь отлаживать тест
Уметь выставить уровено логов
Понять в чем проблема в логах",E1.1,"Уметь пользоваться отладчиком IDE
Уметь делать это самостоятельно",E2.1,"Уметь правильно скорректировать Шаг
Уметь отладить шаги в параллели
",E3.1
Soft Skills,Процессы и стандарты,,,n/a (not applicable at this level),"Уточнение всего с техническим наставником: инициативы, решения, вопросы и т.д.",n/a (not applicable at this level),n/a (not applicable at this level),n/a (not applicable at this level),Помощь в проектах других команд
,Технические инициативы,,,n/a (not applicable at this level),n/a (not applicable at this level),n/a (not applicable at this level),Инициатива по развитию и внедрению автотестовых проектов лоя своих модулей ,Разработка универсальных и полезных решений в своем проекте,
,,,,n/a (not applicable at this level),n/a (not applicable at this level),n/a (not applicable at this level),n/a (not applicable at this level),"- Инициирование обсуждений на техкомах с предложениями решений (учитываются взятые в работу по согласованию с архитектором)
- Проведение техкомов на технические темы (результаты применения новых инструментов, подходов)",
,Наставничество,,,n/a (not applicable at this level),n/a (not applicable at this level),n/a (not applicable at this level),n/a (not applicable at this level),Наставничество в своей команде,
,,,,n/a (not applicable at this level),n/a (not applicable at this level),Быть Наставником для начинающих специалистов,,,
,,,,,,,,,
,,,,,,,,,
Оценка,,,,,,,,,
,,,,,,,,,
,,,,"Младший Инженер Автоматизации Тестирования
Junior AQAEngineer (E1)",,"Инженер Автоматизации Тестирования
Middle AQA Engineer (E2)",,"Старший инженер Автоматизации Тестирования
Senior AQA Engineer (E3)",
,,,,E1.1,E1.2,E2.1,E2.2,E3.1,E3.2
Technical Skills,Инструменты,Git,,1,0,1,1,2,
,,,,,,1,,,
,,Maven,,0,0,2,1,1,
,,Colsole,,1,1,1,,,
,,Postgres,,1,1,1,,,
,,Kubernetes,,,1,1,1,,1
,,Consul,,,1,1,,,
,,Swagger,,,1,1,,,
,Окружающая среда,AT-library,,1,1,1,,1,
,,Java Core,,,,2,2,2,2
,,Cucumber framework,,1,,1,1,1,
,,Spring boot framework,,,,,2,2,2
,,Selenium + Selenide,,1,,1,1,1,1
,Качество и тестирование,Debugging,,1,,2,,1,
Soft Skills,Процессы и стандарты,,,,1,,,,2
,Технические инициативы,,,,,,1,1,
,,,,,,,,1,
,Наставничество,,,,,,,2,
,,,,,,2,,,
,,Обязательные,,7,4,10,6,12,4
,,Желательные,,0,1,4,5,4,3
,,Дополнительные,,0,0,2,0,1,1
,,Опционально,,0,2,2,0,2,4
,,min passing,,7,11,22,32,49,57
